"season","episode","year","date","title","rating","votes"
1,1,1997,1997-08-13,"Cartman Gets an Anal Probe",8.3,1979
1,2,1997,1997-08-20,"Weight Gain 4000",7.9,1547
1,3,1997,1997-08-27,"Volcano",8,1441
1,4,1997,1997-09-03,"Big Gay Al's Big Gay Boat Ride",7.8,1414
1,5,1997,1997-09-10,"An Elephant Makes Love to a Pig",7.8,1321
1,6,1997,1997-09-17,"Death",8.3,1343
1,7,1997,1997-10-29,"Pinkeye",8.5,1414
1,8,1997,1997-11-19,"Starvin' Marvin",8.3,1363
1,9,1997,1997-12-17,"Mr. Hankey, the Christmas Poo",8.2,1383
1,10,1998,1998-02-04,"Damien",8.1,1261
1,11,1998,1998-02-11,"Tom's Rhinoplasty",8.1,1272
1,12,1998,1998-02-18,"Mecha-Streisand",7.9,1311
1,13,1998,1998-02-25,"Cartman's Mom Is a Dirty Slut",8.8,1545
2,1,1998,1998-04-01,"Terrance and Phillip in Not Without My Anus",6.8,1415
2,2,1998,1998-04-22,"Cartman's Mom is Still a Dirty Slut",8.5,1330
2,3,1998,1998-05-20,"Chickenlover",8.3,1246
2,4,1998,1998-05-27,"Ike's Wee Wee",8.2,1226
2,5,1998,1998-06-03,"Conjoined Fetus Lady",7.9,1162
2,6,1998,1998-06-10,"The Mexican Staring Frog of Southern Sri Lanka",7.8,1148
2,7,1998,1998-06-17,"City on the Edge of Forever",7.6,1150
2,8,1998,1998-06-24,"Summer Sucks",7.7,1078
2,9,1998,1998-08-19,"Chef's Salty Chocolate Balls",7.8,1126
2,10,1998,1998-08-26,"Chickenpox",8.1,1090
2,11,1998,1998-09-02,"Roger Ebert Should Lay Off the Fatty Foods",7.8,1084
2,12,1998,1998-09-23,"Clubhouses",8.1,1063
2,13,1998,1998-09-30,"Cow Days",7.8,1055
2,14,1998,1998-10-07,"Chef Aid",8,1097
2,15,1998,1998-10-28,"Spookyfish",8.6,1255
2,16,1998,1998-12-09,"Merry Christmas Charlie Manson!",8.2,1131
2,17,1998,1998-12-16,"Gnomes",8.5,1215
2,18,1999,1999-01-20,"Prehistoric Ice Man",8.1,1111
3,1,1999,1999-04-07,"Rainforest Shmainforest",8.5,1370
3,2,1999,1999-04-14,"Spontaneous Combustion",8.3,1125
3,3,1999,1999-04-21,"The Succubus",8,1150
3,4,1999,1999-06-16,"Jakovasaurs",6.7,1179
3,5,1999,1999-06-23,"Tweek vs. Craig",7.8,1129
3,6,1999,1999-07-07,"Sexual Harassment Panda",8.4,1217
3,7,1999,1999-07-14,"Cat Orgy",8.1,1131
3,8,1999,1999-07-21,"Two Guys Naked in a Hot Tub",8.2,1086
3,9,1999,1999-07-28,"Jewbilee",7.6,1023
3,10,1999,1999-10-27,"Korn's Groovy Pirate Ghost Mystery",8,1202
3,11,1999,1999-11-03,"Chinpokomon",8.7,1364
3,12,1999,1999-11-10,"Hooked on Monkey Fonics",8.1,1044
3,13,1999,1999-11-17,"Starvin' Marvin in Space",8.2,1036
3,14,1999,1999-11-24,"The Red Badge of Gayness",8.4,1080
3,15,1999,1999-12-01,"Mr. Hankey's Christmas Classics",7.4,1086
3,16,1999,1999-12-29,"Are You There God? It's Me, Jesus",7.9,1001
3,17,2000,2000-01-12,"World Wide Recorder Concert",8.2,994
4,1,2000,2000-04-05,"The Tooth Fairy's Tats 2000",8.3,1091
4,2,2000,2000-04-12,"Cartman's Silly Hate Crime 2000",8.6,1177
4,3,2000,2000-04-19,"Timmy 2000",8.3,1087
4,4,2000,2000-04-26,"Quintuplets 2000",7.5,1001
4,5,2000,2000-06-21,"Cartman Joins NAMBLA",9,1533
4,6,2000,2000-06-28,"Cherokee Hair Tampons",8.2,1027
4,7,2000,2000-07-05,"Chef Goes Nanners",8.3,1042
4,8,2000,2000-07-12,"Something You Can Do with Your Finger",8.2,1090
4,9,2000,2000-07-19,"Do the Handicapped Go to Hell?",8.4,1108
4,10,2000,2000-07-26,"Probably",8.4,1028
4,11,2000,2000-11-08,"4th Grade",8.2,1028
4,12,2000,2000-11-15,"Trapper Keeper",8.2,1060
4,13,2000,2000-11-22,"Helen Keller! The Musical",8,987
4,14,2000,2000-11-29,"Pip",7,1128
4,15,2000,2000-12-06,"Fat Camp",8.6,1188
4,16,2000,2000-12-13,"The Wacky Molestation Adventure",8.8,1301
4,17,2000,2000-12-20,"A Very Crappy Christmas",7.6,952
5,1,2001,2001-06-20,"It Hits the Fan",8.5,1218
5,2,2001,2001-06-27,"Cripple Fight",8.4,1153
5,3,2001,2001-07-04,"Super Best Friends",8.4,1121
5,4,2001,2001-07-11,"Scott Tenorman Must Die",9.6,4199
5,5,2001,2001-07-18,"Terrance and Phillip: Behind the Blow",7.2,1006
5,6,2001,2001-07-25,"Cartmanland",8.9,1551
5,7,2001,2001-08-01,"Proper Condom Use",8.6,1186
5,8,2001,2001-08-08,"Towelie",8.4,1310
5,9,2001,2001-11-07,"Osama Bin Laden Has Farty Pants",8,1217
5,10,2001,2001-11-14,"How to Eat with Your Butt",8.1,1121
5,11,2001,2001-11-21,"The Entity",8.3,1078
5,12,2001,2001-11-28,"Here Comes the Neighborhood",8.2,1088
5,13,2001,2001-12-05,"Kenny Dies",8.8,1526
5,14,2001,2001-12-12,"Butters' Very Own Episode",8.9,1597
6,1,2002,2002-03-06,"Jared Has Aides",8.1,1095
6,2,2002,2002-03-13,"Asspen",8.3,1253
6,3,2002,2002-03-20,"Freak Strike",8.1,1052
6,4,2002,2002-03-27,"Fun with Veal",8,1030
6,5,2002,2002-04-03,"The New Terrance and Phillip Movie Trailer",8.1,1179
6,6,2002,2002-04-10,"Professor Chaos",8.6,1195
6,7,2002,2002-06-26,"The Simpsons Already Did It",8.9,1551
6,8,2002,2002-07-03,"Red Hot Catholic Love",8.3,1157
6,9,2002,2002-07-10,"Free Hat",8.4,1169
6,10,2002,2002-07-17,"Bebe's Boobs Destroy Society",8.3,1158
6,11,2002,2002-07-24,"Child Abduction Is Not Funny",8.6,1176
6,12,2002,2002-11-06,"A Ladder to Heaven",8.7,1322
6,13,2002,2002-11-13,"The Return of the Fellowship of the Ring to the Two Towers",9.3,2222
6,14,2002,2002-11-20,"The Death Camp of Tolerance",8.8,1319
6,15,2002,2002-11-27,"The Biggest Douche in the Universe",8.7,1309
6,16,2002,2002-12-04,"My Future Self n' Me",8.6,1176
6,17,2002,2002-12-11,"Red Sleigh Down",8.2,1073
7,1,2003,2003-03-19,"Cancelled",8.5,1237
7,2,2003,2003-03-26,"Krazy Kripples",8.2,1133
7,3,2003,2003-04-02,"Toilet Paper",8.3,1134
7,4,2003,2003-04-09,"I'm a Little Bit Country",8.2,1097
7,5,2003,2003-04-16,"Fat Butt and Pancake Head",8.5,1290
7,6,2003,2003-04-23,"Lil' Crime Stoppers",8.5,1142
7,7,2003,2003-04-30,"Red Man's Greed",7.7,1017
7,8,2003,2003-10-22,"South Park Is Gay",8.3,1191
7,9,2003,2003-10-29,"Christian Rock Hard",9,1667
7,10,2003,2003-11-05,"Grey Dawn",8.2,1066
7,11,2003,2003-11-12,"Casa Bonita",9.1,1760
7,12,2003,2003-11-19,"All About Mormons",8.9,1576
7,13,2003,2003-12-03,"Butt Out",8.1,1087
7,14,2003,2003-12-10,"Raisins",8.5,1223
7,15,2003,2003-12-17,"It's Christmas in Canada",7.7,1035
8,1,2004,2004-03-17,"Good Times with Weapons",9.1,2009
8,2,2004,2004-03-24,"Up the Down Steroid",8.5,1273
8,3,2004,2004-03-31,"The Passion of the Jew",8.7,1541
8,4,2004,2004-04-07,"You Got F'd in the A",8.2,1190
