"episode.num","season","episode","year","date","title","rating","votes","total","swears","swear.rate"
1,1,1,1997,1997-08-13,"Cartman Gets an Anal Probe",8.3,1985,1296,47,0.0363
2,1,2,1997,1997-08-20,"Weight Gain 4000",7.9,1547,1168,25,0.0214
3,1,3,1997,1997-08-27,"Volcano",8,1452,1147,19,0.0166
4,1,4,1997,1997-09-03,"Big Gay Al's Big Gay Boat Ride",7.8,1414,1430,28,0.0196
5,1,5,1997,1997-09-10,"An Elephant Makes Love to a Pig",7.8,1321,1329,28,0.0211
6,1,6,1997,1997-09-17,"Death",8.2,1351,1285,26,0.0202
7,1,7,1997,1997-10-29,"Pinkeye",8.5,1427,1244,35,0.0281
8,1,8,1997,1997-11-19,"Starvin' Marvin",8.3,1375,1122,18,0.016
9,1,9,1997,1997-12-17,"Mr. Hankey, the Christmas Poo",8.2,1383,1193,47,0.0394
10,1,10,1998,1998-02-04,"Damien",8.1,1261,1324,26,0.0196
11,1,11,1998,1998-02-11,"Tom's Rhinoplasty",8.1,1272,1139,24,0.0211
12,1,12,1998,1998-02-18,"Mecha-Streisand",7.9,1311,1101,32,0.0291
13,1,13,1998,1998-02-25,"Cartman's Mom Is a Dirty Slut",8.8,1545,1211,27,0.0223
14,2,1,1998,1998-04-01,"Terrance and Phillip in Not Without My Anus",6.8,1415,1281,15,0.0117
15,2,2,1998,1998-04-22,"Cartman's Mom is Still a Dirty Slut",8.5,1330,1419,21,0.0148
16,2,3,1998,1998-05-20,"Chickenlover",8.3,1246,1198,20,0.0167
17,2,4,1998,1998-05-27,"Ike's Wee Wee",8.2,1226,1368,20,0.0146
18,2,5,1998,1998-06-03,"Conjoined Fetus Lady",7.9,1162,1346,17,0.0126
19,2,6,1998,1998-06-10,"The Mexican Staring Frog of Southern Sri Lanka",7.8,1148,1371,20,0.0146
20,2,7,1998,1998-06-17,"City on the Edge of Forever",7.6,1150,1260,21,0.0167
21,2,8,1998,1998-06-24,"Summer Sucks",7.7,1078,1243,40,0.0322
22,2,9,1998,1998-08-19,"Chef's Salty Chocolate Balls",7.8,1126,1262,27,0.0214
23,2,10,1998,1998-08-26,"Chickenpox",8.1,1090,1537,44,0.0286
24,2,11,1998,1998-09-02,"Roger Ebert Should Lay Off the Fatty Foods",7.8,1084,1345,22,0.0164
25,2,12,1998,1998-09-23,"Clubhouses",8.1,1063,1678,39,0.0232
26,2,13,1998,1998-09-30,"Cow Days",7.8,1055,1363,33,0.0242
27,2,14,1998,1998-10-07,"Chef Aid",7.9,1105,1423,22,0.0155
28,2,15,1998,1998-10-28,"Spookyfish",8.6,1255,1367,24,0.0176
29,2,16,1998,1998-12-09,"Merry Christmas Charlie Manson!",8.2,1142,1488,29,0.0195
30,2,17,1998,1998-12-16,"Gnomes",8.5,1215,1480,21,0.0142
31,2,18,1999,1999-01-20,"Prehistoric Ice Man",8.1,1111,1357,32,0.0236
32,3,1,1999,1999-04-07,"Rainforest Shmainforest",8.5,1374,1360,23,0.0169
33,3,2,1999,1999-04-14,"Spontaneous Combustion",8.3,1125,1453,23,0.0158
34,3,3,1999,1999-04-21,"The Succubus",8,1157,1552,45,0.029
35,3,4,1999,1999-06-16,"Jakovasaurs",6.7,1179,1322,38,0.0287
36,3,5,1999,1999-06-23,"Tweek vs. Craig",7.8,1129,1379,17,0.0123
37,3,6,1999,1999-07-07,"Sexual Harassment Panda",8.4,1217,1262,14,0.0111
38,3,7,1999,1999-07-14,"Cat Orgy",8.1,1131,1075,30,0.0279
39,3,8,1999,1999-07-21,"Two Guys Naked in a Hot Tub",8.2,1086,1560,15,0.0096
40,3,9,1999,1999-07-28,"Jewbilee",7.6,1023,955,19,0.0199
41,3,10,1999,1999-10-27,"Korn's Groovy Pirate Ghost Mystery",8,1202,1265,25,0.0198
42,3,11,1999,1999-11-03,"Chinpokomon",8.7,1364,991,19,0.0192
43,3,12,1999,1999-11-10,"Hooked on Monkey Fonics",8.1,1044,1344,24,0.0179
44,3,13,1999,1999-11-17,"Starvin' Marvin in Space",8.2,1036,1307,23,0.0176
45,3,14,1999,1999-11-24,"The Red Badge of Gayness",8.4,1085,1295,44,0.034
46,3,15,1999,1999-12-01,"Mr. Hankey's Christmas Classics",7.4,1086,1047,28,0.0267
47,3,16,1999,1999-12-29,"Are You There God? It's Me, Jesus",7.9,1001,1489,20,0.0134
48,3,17,2000,2000-01-12,"World Wide Recorder Concert",8.2,1000,1495,16,0.0107
49,4,1,2000,2000-04-05,"The Tooth Fairy's Tats 2000",8.3,1091,1373,43,0.0313
50,4,2,2000,2000-04-12,"Cartman's Silly Hate Crime 2000",8.6,1177,1536,21,0.0137
51,4,3,2000,2000-04-19,"Timmy 2000",8.3,1087,1171,24,0.0205
52,4,4,2000,2000-04-26,"Quintuplets 2000",7.5,1001,1250,12,0.0096
53,4,5,2000,2000-06-21,"Cartman Joins NAMBLA",9,1533,1189,2,0.0017
54,4,6,2000,2000-06-28,"Cherokee Hair Tampons",8.2,1027,1416,22,0.0155
55,4,7,2000,2000-07-05,"Chef Goes Nanners",8.3,1042,1455,16,0.011
56,4,8,2000,2000-07-12,"Something You Can Do with Your Finger",8.2,1090,1531,11,0.0072
57,4,9,2000,2000-07-19,"Do the Handicapped Go to Hell?",8.4,1108,1622,26,0.016
58,4,10,2000,2000-07-26,"Probably",8.3,1036,1399,50,0.0357
59,4,11,2000,2000-11-08,"4th Grade",8.2,1028,1409,39,0.0277
60,4,12,2000,2000-11-15,"Trapper Keeper",8.2,1060,1373,18,0.0131
61,4,13,2000,2000-11-22,"Helen Keller! The Musical",7.9,997,1335,24,0.018
62,4,14,2000,2000-11-29,"Pip",7,1128,983,14,0.0142
63,4,15,2000,2000-12-06,"Fat Camp",8.6,1188,1380,18,0.013
64,4,16,2000,2000-12-13,"The Wacky Molestation Adventure",8.8,1301,1357,15,0.0111
65,4,17,2000,2000-12-20,"A Very Crappy Christmas",7.6,952,1372,12,0.0087
66,5,1,2001,2001-06-20,"It Hits the Fan",8.5,1218,1482,139,0.0938
67,5,2,2001,2001-06-27,"Cripple Fight",8.4,1153,1195,14,0.0117
68,5,3,2001,2001-07-04,"Super Best Friends",8.4,1121,1347,12,0.0089
69,5,4,2001,2001-07-11,"Scott Tenorman Must Die",9.6,4199,1353,23,0.017
70,5,5,2001,2001-07-18,"Terrance and Phillip: Behind the Blow",7.2,1006,1532,26,0.017
71,5,6,2001,2001-07-25,"Cartmanland",8.9,1551,1498,34,0.0227
72,5,7,2001,2001-08-01,"Proper Condom Use",8.6,1186,1428,14,0.0098
73,5,8,2001,2001-08-08,"Towelie",8.4,1310,1291,17,0.0132
74,5,9,2001,2001-11-07,"Osama Bin Laden Has Farty Pants",8,1217,1032,24,0.0233
75,5,10,2001,2001-11-14,"How to Eat with Your Butt",8.1,1121,1398,8,0.0057
76,5,11,2001,2001-11-21,"The Entity",8.3,1078,1415,22,0.0155
77,5,12,2001,2001-11-28,"Here Comes the Neighborhood",8.2,1088,1335,9,0.0067
78,5,13,2001,2001-12-05,"Kenny Dies",8.8,1526,1301,14,0.0108
79,5,14,2001,2001-12-12,"Butters' Very Own Episode",8.9,1597,1493,5,0.0033
80,6,1,2002,2002-03-06,"Jared Has Aides",8.1,1101,1521,11,0.0072
81,6,2,2002,2002-03-13,"Asspen",8.3,1253,1273,8,0.0063
