"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL"
"Stan","dude",2050,34748,850,192.035865832026,1857.96413416797,1479.6586573996
"Stan","dad",770,34748,309,72.1305447271512,697.869455272849,516.81319100624
"Stan","cartman",1248,34748,349,116.907688077253,1131.09231192275,350.472135775234
"Stan","yeah",3674,34748,530,344.165741983836,3329.83425801616,96.560064748164
"Stan","chef",418,34748,106,39.1565814233106,378.843418576689,89.9938146163849
"Stan","kyle",1757,34748,283,164.588788422863,1592.41121157714,78.9794867779182
"Stan","kenny",963,34748,180,90.2100189249956,872.789981075004,78.6853897348049
"Stan","guys",2023,34748,310,189.50661296497,1833.49338703503,72.2431942961353
"Stan","grandpa",53,34748,29,4.96482970199872,48.0351702980013,69.0589542147175
"Stan","cartmans",141,34748,47,13.2083205279589,127.791679472041,61.5782084814279
"Stan","killed",241,34748,64,22.5759237392772,218.424076260723,58.9336649183761
"Stan","come guys",115,34748,37,10.7727436930161,104.227256306984,46.0895879844218
"Stan","wendy",315,34748,69,29.5079501156528,285.492049884347,43.9733938602438
"Stan","gotta",646,34748,114,60.5147167451164,585.485283254884,42.4665025489863
"Stan","uncle",65,34748,25,6.08894208735692,58.9110579126431,39.6481248157038
"Stan","gonna",2566,34748,337,240.372698402428,2325.62730159757,38.5563557261456
"Stan","something",900,34748,143,84.308428901865,815.691571098135,38.0567530483782
"Stan","dont care",119,34748,34,11.1474478214688,107.852552178531,35.3508538170759
"Stan","jesus",755,34748,120,70.7254042454534,684.274595754547,31.9723050539298
"Stan","come",2604,34748,330,243.932387622729,2360.06761237727,30.4954138967648
"Stan","sucks",130,34748,34,12.1778841747138,117.822115825286,30.4913132585885
"Stan","kyle kyle",72,34748,23,6.7446743121492,65.2553256878508,28.3543248888386
"Stan","fifth",34,34748,15,3.18498509184823,30.8150149081518,28.1126804011912
"Stan","ill try",43,34748,17,4.02806938086688,38.9719306191331,27.9107426141417
"Stan","wow",524,34748,87,49.0862408273081,474.913759172692,26.868478333921
"Stan","really",1695,34748,224,158.780874431846,1536.21912556815,26.5368033388593
"Stan","theyve",168,34748,38,15.7375733950148,152.262426604985,25.8981884858706
"Stan","wait",918,34748,134,85.9945974799023,832.005402520098,25.6867223423914
"Stan","gotta get",110,34748,28,10.3043635324502,99.6956364675498,23.9336388126473
"Stan","dont",4530,34748,523,424.35242547272,4105.64757452728,23.7262507846868
"Stan","jimbo",74,34748,21,6.93202637637557,67.0679736236244,21.5975902921486
"Stan","wheres",137,34748,31,12.8336163995061,124.166383600494,21.1441145243349
"Stan","cool",554,34748,86,51.8965217907036,502.103478209296,21.040123825998
"Stan","parents",411,34748,68,38.5008491985184,372.499150801482,20.7625700613623
"Stan","jesus christ",173,34748,36,16.2059535555807,156.794046444419,20.4891925815529
"Stan","hes",1339,34748,174,125.432206999552,1213.56779300045,18.7314654598409
"Stan","best friend",59,34748,17,5.52688589467782,53.4731141053222,17.9152327466162
"Stan","stuff",334,34748,56,31.2877947258032,302.712205274197,17.8480936583018
"Stan","dont know",688,34748,99,64.4491100938701,623.55088990613,17.8393527547226
"Stan","wanna",957,34748,130,89.6479627323165,867.352037267683,17.8304765922631
"Stan","craig",184,34748,36,17.2363899088257,166.763610091174,17.6956708758988
"Stan","dont wanna",214,34748,40,20.0466708722212,193.953329127779,17.48564216329
"Stan","mom",807,34748,112,75.5965579153389,731.403442084661,17.0875595833647
"Stan","lets go",300,34748,51,28.102809633955,271.897190366045,16.9779009409845
"Stan","happened",282,34748,48,26.4166410559177,255.583358944082,16.0413885926134
"Stan","doesnt",585,34748,85,54.8004787862123,530.199521213788,15.9766029490926
"Stan","hoh",95,34748,22,8.89922305075242,86.1007769492476,15.7248399057395
"Stan","just gotta",31,34748,11,2.90395699550868,28.0960430044913,15.7042026814264
"Stan","kyles",109,34748,24,10.210687500337,98.789312499663,15.4642167076414
"Stan","graders",48,34748,14,4.4964495414328,43.5035504585672,15.0407605491886
"Stan","said",756,34748,103,70.8190802775666,685.180919722433,14.3415464604551
"Stan","kennys",135,34748,27,12.6462643352798,122.35373566472,14.0040697109892
"Stan","tweek",130,34748,26,12.1778841747138,117.822115825286,13.4854004624341
"Stan","mean",918,34748,120,85.9945974799023,832.005402520098,13.3681269655249
"Stan","whoa",388,34748,59,36.3463004599151,351.653699540085,13.3488632807765
"Stan","just",5215,34748,567,488.520507470251,4726.47949252975,13.2922631212639
"Stan","cant",1912,34748,227,179.108573400407,1732.89142659959,13.1319322669959
"Stan","oh hey",97,34748,21,9.08657511497878,87.9134248850212,13.050308138419
"Stan","maybe",693,34748,94,64.917490254436,628.082509745564,12.7962937793707
"Stan","friend",494,34748,71,46.2759598639126,447.724040136087,12.7272032719663
