"Stan","Kyle","Chef","Mrs..Garrison","Cartman","Jimbo","Gerald","Mr..Mackey","Randy","Kenny","Butters","Stephen","Craig","Sheila","Announcer","Sharon","Wendy","Principal.Victoria","Jesus","Liane","Jimmy","Narrator","Reporter","Satan","Mr..Garrison","Michael","Mayor","All.others","word"
1,2,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11,"aaaa"
5,9,0,0,4,0,0,2,2,2,6,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,51,"aaaah"
8,2,0,0,12,0,1,0,1,1,8,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,37,"aaah"
0,1,0,2,6,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18,"aaand"
7,6,0,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,"aah"
4,2,1,0,5,0,1,1,0,0,10,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,19,"aand"
13,11,3,0,17,1,1,4,9,1,7,1,0,2,0,1,0,2,0,0,0,2,1,0,2,0,0,62,"able"
1,1,0,3,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,6,0,0,0,0,0,16,"abortion"
2,1,0,0,5,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,32,"absolutely"
4,5,1,0,9,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,3,1,0,1,0,0,0,22,"accept"
1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,"accepted"
2,0,0,0,9,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,18,"access"
1,2,0,1,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,1,2,0,0,0,0,19,"accident"
1,4,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,"according"
4,0,0,0,8,1,0,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,29,"across"
8,5,1,3,13,1,0,2,3,0,2,0,0,1,0,0,1,0,0,0,1,5,1,0,3,0,0,43,"act"
3,1,1,1,4,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,"act like"
4,3,1,0,2,0,0,1,2,0,2,0,0,0,0,2,3,1,0,3,0,1,0,0,3,0,0,13,"acting"
2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,5,"acting like"
8,3,1,1,2,0,0,1,0,0,1,0,0,0,7,0,0,0,1,0,0,0,1,0,1,0,0,33,"action"
38,27,6,0,61,2,3,9,12,1,12,1,0,2,2,6,7,1,2,2,7,2,2,1,4,0,6,150,"actually"
6,1,1,0,10,0,0,1,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,"add"
10,5,0,1,7,1,2,0,3,1,2,0,2,0,0,2,0,4,0,0,4,0,0,0,3,1,0,27,"admit"
1,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,9,"adult"
1,2,0,0,1,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,8,"adults"
2,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,"advantage"
9,3,0,1,6,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"adventure"
1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,7,"advice"
3,1,1,0,5,0,2,0,3,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,16,"afford"
5,5,3,1,23,0,1,1,6,1,5,4,0,1,0,2,0,6,2,1,1,0,0,0,2,0,1,133,"afraid"
1,2,0,0,5,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21,"afternoon"
4,3,1,0,4,0,0,3,4,0,0,2,0,1,2,2,1,0,0,0,0,3,0,0,1,0,0,25,"age"
5,3,2,0,11,0,0,0,5,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,18,"agh"
19,13,7,6,16,0,4,1,8,1,9,3,0,0,0,1,1,2,1,3,1,1,6,1,2,0,0,76,"ago"
4,13,0,0,12,0,5,0,4,3,3,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,44,"agree"
3,3,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,20,"agreed"
3,7,0,0,4,0,0,0,2,0,15,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,13,"ah im"
1,1,0,1,9,0,1,1,1,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,17,"aha"
2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,"ahah"
12,12,1,2,39,0,0,1,5,0,5,0,0,0,0,4,3,1,0,2,2,1,0,0,7,3,0,67,"ahead"
3,3,1,0,7,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,"ahh"
2,3,0,1,4,0,0,0,6,0,7,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,22,"ahhh"
3,7,2,0,22,1,0,2,1,0,3,1,0,0,0,0,1,1,0,1,0,1,2,1,2,0,0,41,"aids"
1,1,10,0,14,2,0,0,3,1,20,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,106,"aint"
