"speaker","words","episode","num"
"KYLE","-Ah damn it, my little brother's trying to follow me to school again.","cartman-gets-an-anal-probe",1
"IKE","BaBa Simi","cartman-gets-an-anal-probe",1
"KYLE","Ike, you can't come to school with me!","cartman-gets-an-anal-probe",1
"IKE","BaBa Simi ba baa.","cartman-gets-an-anal-probe",1
"CARTMAN","Yeah, go home you little dildo.","cartman-gets-an-anal-probe",1
"KYLE","Dude! Don't call my brother a dildo.","cartman-gets-an-anal-probe",1
"STAN","What's a dildo?","cartman-gets-an-anal-probe",1
"KYLE","I don't know... and I'll bet Cartman doesn't know either!","cartman-gets-an-anal-probe",1
"CARTMAN","I know what it means!","cartman-gets-an-anal-probe",1
"KYLE","Well, what?!","cartman-gets-an-anal-probe",1
"CARTMAN","...I'm not telling you.","cartman-gets-an-anal-probe",1
"STAN","What's a dildo, Kenny?","cartman-gets-an-anal-probe",1
"KENNY","Mph rmph phrmph m phrmph mmr.","cartman-gets-an-anal-probe",1
"CARTMAN","HA YEAH! THAT'S WHAT KYLE'S LITTLE BROTHER IS ALRIGHT!!","cartman-gets-an-anal-probe",1
"CARTMAN","OW!","cartman-gets-an-anal-probe",1
"STAN","Dude that kicks ass!","cartman-gets-an-anal-probe",1
"KYLE","Yeah! Check this one out! (to Ike) Ready Ike? Kick the baby","cartman-gets-an-anal-probe",1
"IKE","Don't kick the baby.","cartman-gets-an-anal-probe",1
"KYLE","Kick the baby.","cartman-gets-an-anal-probe",1
"IKE","Wahhhhh!","cartman-gets-an-anal-probe",1
"STAN","Whoa, Cartman, looks like you didn't get much sleep last night.","cartman-gets-an-anal-probe",1
"CARTMAN","That's 'cause I was having these bogus nightmares.","cartman-gets-an-anal-probe",1
"KYLE","Really, what about?","cartman-gets-an-anal-probe",1
"CARTMAN","Well, I dreamt that I was lying in my bed... In the dark...","cartman-gets-an-anal-probe",1
"CARTMAN","And slowly my bedroom door began to open... And then the next thing I remember, I was being drug through a hallway!","cartman-gets-an-anal-probe",1
"CARTMAN","Then I was lying on a table, and these scary aliens wanted to operate on me!  And they had big heads... And big black eyes-","cartman-gets-an-anal-probe",1
"STAN","Dude! Visitors!","cartman-gets-an-anal-probe",1
"KYLE","Totally!","cartman-gets-an-anal-probe",1
"CARTMAN","What?","cartman-gets-an-anal-probe",1
"STAN","That wasn't a dream, Cartman, those were visitors!","cartman-gets-an-anal-probe",1
"CARTMAN","(Nervous) No, it was just a dream. My mom said so!","cartman-gets-an-anal-probe",1
"STAN","Visitors are real!","cartman-gets-an-anal-probe",1
"KYLE","Yeah, they abduct people and they mutilate cows!","cartman-gets-an-anal-probe",1
"CARTMAN","Ah shut up, you guys, you're just trying to make me scared, and it's not working.","cartman-gets-an-anal-probe",1
"CHEF","Hello there, children.","cartman-gets-an-anal-probe",1
"KIDS","Hey, Chef.","cartman-gets-an-anal-probe",1
"STAN","What's gonna be for lunch today, Chef?","cartman-gets-an-anal-probe",1
"CHEF","Well, today it's Salisbury steak with buttered noodles and a choice of green bean casserole or vegetable medley.","cartman-gets-an-anal-probe",1
"CARTMAN","Kick ass!","cartman-gets-an-anal-probe",1
"CHEF","Say, did any of you children see the alien spaceship last night?","cartman-gets-an-anal-probe",1
"CARTMAN","HUH?!","cartman-gets-an-anal-probe",1
"STAN","Yeah, fat boy saw it!","cartman-gets-an-anal-probe",1
"CARTMAN","No! Th-That was just a dream! And I'm NOT fat, I'm big-boned.","cartman-gets-an-anal-probe",1
"CHEF","(To Cartman) Oh, was it the ones with the big long heads and the black eyes?","cartman-gets-an-anal-probe",1
"CARTMAN","(PETRIFIED) AH!","cartman-gets-an-anal-probe",1
"STAN","They took him on their ship!","cartman-gets-an-anal-probe",1
"CHEF","Ooh... Did they give you an anal probe?","cartman-gets-an-anal-probe",1
