"CARTMAN","STAN","KENNY","CHEF","MR..GARRISON","WENDY","NARRATOR","ANNOUNCER","JIMBO","MAYOR","JESUS","TERRANCE","REPORTER","COUNSELOR.MACKEY","SHARON","RANDY","JIMMY","BUTTERS","CHRIS","MS..CHOKSONDIK","MEPHESTO","MS..CARTMAN","KYLE","ALL.OTHERS","word"
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,5,"a a"
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,"a baby"
15,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,2,15,"a bad"
2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,"a beautiful"
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,8,"a better"
16,20,0,6,5,0,0,0,1,0,0,0,0,0,2,0,2,3,0,0,0,1,13,43,"a big"
2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,"a bigger"
2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,16,"a bit"
43,8,0,1,3,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,6,18,"a bitch"
4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,"a black"
2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,7,"a boy"
16,9,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,1,8,18,"a bunch"
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,"a car"
5,5,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,11,"a chance"
2,2,0,1,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,2,1,15,"a child"
1,1,0,1,1,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,1,12,"a choice"
2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,"a christmas"
3,7,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"a clubhouse"
1,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,4,13,"a couple"
4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"a crap"
1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"a curse"
4,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,6,"a dead"
3,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,9,"a dick"
4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,"a different"
4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,"a dirty"
3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,"a dog"
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,"a dollar"
6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"a dream"
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,"a fake"
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,2,"a family"
5,2,0,1,4,0,0,1,3,0,2,0,1,0,0,2,0,0,0,0,1,0,1,38,"a few"
1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,"a fight"
4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7,"a free"
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,5,"a friend"
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,"a game"
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"a gay"
2,4,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,3,5,"a giant"
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,"a goddamned"
15,6,0,2,6,2,2,0,4,1,1,1,0,1,7,3,2,5,0,1,0,1,5,48,"a good"
10,10,0,2,2,0,1,2,1,0,0,0,2,2,1,4,8,3,0,0,0,1,2,49,"a great"
1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,4,"a group"
2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"a gun"
3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,6,"a guy"
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"a hand"
