"CARTMAN","STAN","KENNY","CHEF","MR..GARRISON","WENDY","NARRATOR","ANNOUNCER","JIMBO","MAYOR","JESUS","TERRANCE","REPORTER","COUNSELOR.MACKEY","SHARON","RANDY","JIMMY","BUTTERS","CHRIS","MS..CHOKSONDIK","MEPHESTO","MS..CARTMAN","KYLE","ALL.OTHERS","word"
1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,"¼and"
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,14,"aaaaah"
2,4,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,3,36,"aaaah"
6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,4,17,"aaah"
3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,"aaand"
4,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,14,"aah"
5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,7,0,0,0,0,0,5,"aand"
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,"aaww"
2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,"ability"
8,6,0,3,2,0,0,0,1,0,0,1,0,0,0,3,0,4,0,1,0,0,7,28,"able"
5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,"abortion"
1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,19,"absolutely"
1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,"abuse"
2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,13,"accept"
0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,"access"
3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,10,"accident"
2,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,"across"
11,5,0,1,3,0,4,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,2,45,"act"
1,3,0,1,3,3,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,2,5,"acting"
1,8,0,1,1,0,1,7,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,20,"action"
19,17,1,5,2,3,0,0,2,5,1,0,1,3,2,5,2,2,1,1,1,2,9,57,"actually"
5,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,7,"add"
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"adler"
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,"adult"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,5,"adults"
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,"adventure"
