"CARTMAN","STAN","KENNY","CHEF","MR..GARRISON","WENDY","NARRATOR","ANNOUNCER","JIMBO","MAYOR","JESUS","TERRANCE","REPORTER","COUNSELOR.MACKEY","SHARON","RANDY","JIMMY","BUTTERS","CHRIS","MS..CHOKSONDIK","MEPHESTO","MS..CARTMAN","KYLE","ALL.OTHERS","word"
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,"a bad idea"
2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,"a big fat"
16,8,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,7,17,"a bunch of"
3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,"a chance to"
1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,11,"a couple of"
0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,"a giant douche"
2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,"a good idea"
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,8,"a good time"
0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,4,"a great idea"
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,"a great time"
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,"a hard time"
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,"a ladder to"
1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,"a little better"
5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,10,"a little bit"
2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,"a little boy"
2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,"a little more"
2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"a little too"
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,"a little while"
4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,11,"a long time"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,"a lot about"
1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"a lot better"
13,10,0,3,3,1,1,1,3,3,2,0,1,1,1,2,2,2,2,0,2,2,10,56,"a lot of"
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,"a lot to"
2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,"a man who"
4,2,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,"a minute i"
0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,"a minute what"
2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"a minute you"
0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,7,"a part of"
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,5,"a picture of"
5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"a piece of"
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,"a stop to"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,"a talk with"
1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,8,"a turd sandwich"
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,"a very good"
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,3,"a very important"
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,"a very special"
1,9,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,3,4,"a way to"
1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"a whole lot"
2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,"a whole new"
1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"action school news"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,5,"ah i dont"
0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,"all going to"
1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,"all have to"
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,"all i can"
3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"all i have"
4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"all i know"
3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,7,"all kinds of"
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,"all need to"
3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"all of a"
5,2,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,"all of us"
0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,13,"all of you"
5,0,0,2,1,0,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,16,"all over the"
2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,3,10,"all right all"
2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"all right and"
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"all right here"
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,"all right i"
1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"all right im"
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,"all right its"
1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,12,"all right lets"
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,"all right now"
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"all right well"
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,13,"all right you"
0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,"all the other"
9,10,1,2,1,1,1,0,0,0,0,0,0,1,0,1,0,4,0,1,0,0,8,14,"all the time"
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,6,"all the way"
3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,"all this time"
3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,6,"all we have"
5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"all we need"
2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,"all you have"
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"always wanted to"
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,"am i going"
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,8,"am i supposed"
2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,"and all the"
4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,8,"and for all"
1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,"and get some"
2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,"and i am"
1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,6,"and i are"
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,"and i cant"
4,3,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,2,9,"and i dont"
4,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,3,13,"and i have"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,"and i just"
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,"and i know"
3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,6,"and i need"
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"and i say"
3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,"and i think"
4,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8,"and i want"
2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,4,"and i was"
1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"and if i"
6,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,"and if you"
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"and im gonna"
3,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,"and im not"
3,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,"and now for"
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,"and now i"
4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,"and of course"
2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,7,"and so i"
5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,"and so the"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,"and that is"
2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,"and that means"
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,5,"and thats why"
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,"and then i"
2,4,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,"and then we"
3,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,"and then well"
5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,"and then you"
2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,2,17,"and this is"
2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,"and we can"
1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,7,"and we have"
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,"and we were"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"and what do"
5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,"and you are"
2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,"and you can"
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,"and you dont"
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,"and you know"
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"and youre a"
1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"and youre gonna"
0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,"any of you"
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"are a very"
6,0,0,2,1,0,0,0,0,1,0,1,0,0,1,1,0,2,0,1,1,0,2,12,"are going to"
0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,"are gonna be"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,"are gonna get"
1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,3,"are there any"
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,4,"are they doing"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"are they gonna"
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"are we doing"
2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8,"are we going"
7,10,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,14,12,"are we gonna"
0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,5,3,"are we supposed"
0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,2,11,"are you doin"
19,32,0,7,3,1,0,0,0,1,2,1,0,3,8,4,0,3,0,1,0,0,25,45,"are you doing"
0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"are you feeling"
5,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,9,"are you going"
6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6,11,"are you gonna"
7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,8,"are you guys"
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"are you oh"
1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,"are you okay"
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,8,"are you ready"
2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"are you still"
2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,1,4,15,"are you sure"
3,7,0,0,2,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,5,8,"are you talking"
0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,"around the country"
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"as good as"
5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,8,"as long as"
3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,8,"as soon as"
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,"as you know"
0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"asked me to"
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,4,"at a time"
